sms_stemmed,Actual Classification,Predicted Classification
told go got drunk,0,0.0
sure mean made hold,0,0.0
haha first person gon na ask,0,0.0
wat,0,0.0
lol wtf random btw lunch break,0,0.0
read gud nan bari hudgi yorg pataistha ertini kano,0,0.0
depend would like treat,0,0.0
someth ate,0,0.0
urgent attempt contact prize yesterday still await collect claim call,1,1.0
nope meanwhil talk say make greet,0,0.0
urgent mobil number award prize guarante call land line claim valid,1,1.0
haha sound crazi dunno tahan anot,0,0.0
also maaaan miss,0,0.0
still havent got urself jacket ah,0,0.0
win realli side long time,0,0.0
well lot thing happen lindsay new year bar ptbo blue heron someth go,0,0.0
movi collect car oredi,0,0.0
ok enjoy home,0,0.0
anyway serious hit back otherwis light armand alway shit vomit,0,0.0
advanc happi pongal,0,0.0
hello love goe day wish well fine babe hope find job prospect miss boytoy teas,0,0.0
finish work yet,0,0.0
lol grr mom take forev prescript pharmaci like minut away ugh,0,0.0
increas chanc win,0,1.0
let go bill miller,0,0.0
im gonnamissu much would say il send postcard butther abouta much chanc merememberin asther ofsi breakin contract luv yaxx,0,0.0
sm ac jsco energi high may know ur leadership skill strong psychic repli an end repli end jsco,1,0.0
haf found feel stupid da cam work,0,0.0
will go app class,0,0.0
oh half hour much longer syria canada eh wow must get much work done day us extra time,0,0.0
log wat,0,0.0
network oper servic free visit,1,1.0
singl singl answer fight plu said broke didnt repli,0,0.0
cant pick phone right pl send messag,0,0.0
dont know bring food,0,0.0
sure ca take sick time,0,0.0
custom place wil cal sir,0,0.0
come tomorrow di,0,0.0
omg joanna freak look thru friend find photo ask stuff myspac even log like year,0,0.0
yep pretti sculptur,0,0.0
worri sure get,0,0.0
watch film,0,0.0
privat account statement show unredeem bonu point claim call identifi code expir,1,1.0
come home want miser,0,0.0
done mean,0,0.0
freemsg txt call claim reward hour talk time use phone inc stop txtstop,1,1.0
back amp pack car let know room,0,0.0
hello site download song urgent pl,0,0.0
urgent call landlin complimentari ibiza holiday cash await collect sae cs po box ppm,1,1.0
oz guy kinda flaki one friend interest pick lt gt worth tonight possibl,0,0.0
free rington wait collect simpli text password verifi get usher britney fml po box,1,1.0
well gener price lt gt let know much want,0,0.0
goldvik invit friend repli see stop send stop frnd,1,1.0
jade paul didn  t txt rememb barm want talk txt,0,1.0
make easi pay back lt gt yr say pay back earlier get,0,0.0
murder coz man murder lt gt th public holiday close includ post,0,0.0
sunshin hol claim ur med holiday send stamp self address envelop drink us uk po box bray wicklow eir quiz start saturday unsub stop,1,1.0
haven  t lost ill alway didn  t intend hurt never knew felt that   careabout,0,0.0
thanx lot ur help,0,0.0
dun need pick ur gf,0,0.0
thankyou much call appreci care,0,0.0
okay chase dream good next,0,0.0
drive read need write,0,0.0
yeah got one line us,0,0.0
ask sen come chennai search job,0,0.0
surf,0,0.0
da intro cover energi trend pro con brief descript nuclear fusion oso brief histori iter jet got abt half,0,0.0
freemsg hey buffi love satisfi men home alon feel randi repli pix qlynnbv msg send stop stop txt,1,1.0
nope wait sch daddi,0,0.0
know mood today,0,0.0
hi hun im comin im sorri hope ava goodtim oli rang melnit ifink mite sort il explain everythin,0,0.0
neither sterm voic studi fine sure thing resolv tho anyway fab hol,0,0.0
help propos go back tomorrow,0,0.0
hey mate how honey ave good holiday gimmi de goss,0,0.0
fine rememb,0,0.0
last chanc claim ur worth discount ye offer mobil cs sub remov txt stop,1,1.0
puriti friendship two smile read forward smile see name gud evng musthu,0,0.0
well ball time make call,0,0.0
well babe swollen gland throat end,0,0.0
nobodi decid eat dad want chines,0,0.0
start skye,0,0.0
last chanc claim ur worth discount voucher today text shop savamob offer mobil cs savamob sub,1,1.0
got money da,0,0.0
compani terrif food realli nice,0,0.0
yup fren lor meet fren,0,0.0
dude im longer pisc im aquariu,0,0.0
miss someon person definit special person special miss,0,0.0
great shoot big load get readi,0,0.0
voucher marsm log onto discount credit opt repli stop custom care call,1,1.0
ur paper,0,0.0
open mca,0,0.0
yo yo yo byatch whassup,0,0.0
hmmm want chang field quickli da wan na get system administr network,0,0.0
wnt buy bmw car vri hv shortag lt gt sourc arng di amt lt gt prob,0,0.0
said dun haf passport smth like juz send email,0,0.0
mani peopl seem special first sight remain special till last maintain till life take cr da,0,0.0
sure get noon see,0,0.0
miser tell side effect birth control massiv gut wrench cramp first month sleep last night,0,0.0
hope result consist intellig kind start ask practicum link keep ear open best ttyl,0,0.0
edison rightli said fool ask question wise man know us speechless gm gn ge gnt,0,0.0
phoni award today voda number end xxxx select receiv award match pleas call quot claim code standard rate app,1,1.0
sometim heart remembr someon much forget someon soon bcoz heart like everyon like one rememb everytim bslvyl,0,0.0
yep fine ice age,0,0.0
hey sathya till dint meet even singl time saw situat sathya,0,0.0
spoil bed well,0,0.0
fine that   way feel that   way gota,0,0.0
much fifti,0,0.0
feel like tri kadeem,0,0.0
ask chatlin inclu free min india cust serv sed ye got mega bill dont giv shit bailiff due day want,1,0.0
final chanc claim ur worth discount voucher today text ye savamob member offer mobil cs savamob sub,1,1.0
love want flood pretti pussi cum,0,0.0
privat account statement show point call identifi code expir,1,1.0
haha dont angri take practic real thing,0,0.0
date two start sent text talk sport radio last week connect think coincid,1,0.0
pleas send aunti number,0,0.0
urgent pleas call landlin cash luxuri canari island holiday await collect cs sae award,1,1.0
come room come hous co hous still messi haha,0,0.0
way make sure get train worc foreg street shrub hill fun night,0,0.0
mean could keep ur word,0,0.0
never tri alon take weight tear come ur heart fall ur eye alway rememb stupid friend share bslvyl,0,0.0
sad stori man last week wife wish parent forgot kid went work even colleagu wish,0,0.0
hi spoke maneesha like know satisfi experi repli toll free ye,0,0.0
ok lor thanx    school,0,0.0
hello handsom find job lazi work toward get back net mummi boytoy miss,0,0.0
haha awesom minut,0,0.0
great new offer doubl min doubl txt best orang tariff get latest camera phone free call free cs,1,1.0
moment day bring hope afternoon bring faith even bring luv night bring rest wish find morn,0,0.0
still look car buy gone drive test yet,0,0.0
good work,0,0.0
ju finish bath,0,0.0
cant pick phone right pl send messag,0,0.0
time come tomorrow,0,0.0
da car park,0,0.0
know lab goggl went,0,0.0
yo come carlo soon,0,0.0
okay go sleep later,0,0.0
go normal pilat intro,0,0.0
get dump heap mom decid come low bore,0,0.0
hear new come ken stuff,1,0.0
sweet heart,0,0.0
studi alon without anyon help cant need studi,0,0.0
wonder other took,0,0.0
love hope anyth drastic dare sell pc phone,0,0.0
ok,0,0.0
lol oh babe wont slide place midnight thank invit,0,0.0
lor chang suntec wat time come,0,0.0
playng door game gt race phone lol,0,0.0
goodmorn today late lt decim gt min,0,0.0
hi babi ive got back work want see allday hope didnt piss phone today give call xxx,0,0.0
hmm shall bring bottl wine keep us amus joke still bring bottl red white see tomorrow,0,0.0
hello beauti ok kinda ad row wiv walk pub want night wiv miss,0,0.0
think match,0,0.0
unless situat go gurl would appropri,0,0.0
lol still feel sick,0,0.0
romcapspam everyon around respond well presenc sinc warm outgo bring real breath sunshin,1,0.0
join today,0,0.0
tri someth dear read someth exam,0,0.0
webpag avail,0,0.0
urgent mobil number award prize guarante call land line claim valid,1,1.0
thx well month,0,0.0
fine send greet,0,0.0
go good still need littl experi understand american custom voic,0,0.0
kind took garag centr part exhaust need replac part order take fix tomo morn,0,0.0
aiyo poor thing dun wan eat bath alreadi,0,0.0
wen ur free come home also tel vikki hav sent mail better come even il free today aftr,0,0.0
li hai bore da lectur repeat last week stuff wast time,0,0.0
poyyarikatur kolathupalayam unjalur post erod di lt gt,0,0.0
sam eachoth meet go hous,0,0.0
go noth,0,0.0
yar tot knew di would happen long ago alreadi,0,0.0
worri hope photo shoot went well spif fun workag,0,0.0
want come back beauti necklac token heart give wife one give call wait till come,0,0.0
free msg rington http wml,1,1.0
liter bed like lt gt hour,0,0.0
free unlimit hardcor porn direct mobil txt porn get free access hr chrgd per day txt stop msg free,1,1.0
dun wan dun like alreadi ah wat still eat,0,0.0
alright tyler got minor crisi home sooner thought asap,0,0.0
bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care forevr goodfriend,0,0.0
what come hill monster hope great day thing go fine busi though,0,0.0
how champ leav glasgow,0,0.0
coffe cake guess,0,0.0
hey dont go watch men lunch haha,0,0.0
film ill call later,0,0.0
im snowboard trip wonder plan get everyon togeth befor meet greet kind affair cheer,0,0.0
let make saturday monday per conveni,0,0.0
mobil mth updat latest orang phone free save free call text ye callback orno opt,1,1.0
ya nice readi thursday,0,0.0
got lousi sleep kept wake everi hour see cat want come worri cold,0,0.0
everi night take warm bath drink cup milk see work magic still need loos weight know,0,0.0
lmao nice,0,0.0
remind get shall,0,0.0
shoot big load get readi,0,0.0
import messag final contact attempt import messag wait custom claim dept expir call,1,1.0
sure drive reach destin soon,0,0.0
well go aunti,0,0.0
tunji queen wish great day abiola,0,0.0
promis get soon text morn let know made ok,0,0.0
valu custom pleas advis follow recent review mob award bonu prize call,1,1.0
urgent tri contact today draw show prize guarante call land line claim,1,1.0
uncl boy need movi oh guid plu know torrent particularli legal system slow day plu start co dont meet onlin honey moon,0,0.0
home,0,0.0
happen gotten job begun registr perman resid,0,0.0
super da good replac murali,0,0.0
famili respond anyth room went home diwali one call come make feel like die,0,0.0
sorri grocer,0,0.0
hey rite put evey mnth,0,0.0
mm umma ask vava also come tell play later togeth,0,0.0
nope wif si lor aft bath dog bath look like go rain soon,0,0.0
want leav bare stay sane fight constantli help,0,0.0
dont want hear anyth,0,0.0
place want da,0,0.0
time come,0,0.0
hous sky quit dark liao rain got excus run alreadi rite hee,0,0.0
told tell stupid hear wont tell anyth dad call brother spoken,0,0.0
gift tri get throw cliff someth,0,0.0
stupid auto correct phone,0,0.0
noth,0,0.0
sorri abl get see morn,0,0.0
ard lor ok messag lor,0,0.0
bloomberg center wait appli futur http,1,1.0
reach tell dont know,0,0.0
rofl true name,0,0.0
clair havin borin time alon wan na cum chat hope luv clair xx,1,1.0
mummi boy good bad posit neg mummi made wait hmmmm,0,0.0
urgent import inform user today lucki day find log onto http fantast surpris await,1,1.0
dhoni luck win big win,0,1.0
goodmorn grandfath leav today,0,0.0
need lar go engin co si art today,0,0.0
geeeee love much bare stand,0,0.0
annoy,0,0.0
great stop laugh da,0,0.0
go ride bike,0,0.0
dont want hear philosophi say happen,0,0.0
wat time liao still got,0,0.0
sorri pain ok meet anoth night spent late afternoon casualti mean done includ time sheet sorri,0,0.0
award sipix digit camera call landlin deliveri within cs warranti,1,1.0
aight ask roommat,0,0.0
especi sinc talk boston person statement lol woulda chang realiz said nyc say boston,0,0.0
ugh wan na get bed warm,0,0.0
babe hope shit night sleep fell asleep knacker i  m dread work tonight thou upto tonight,0,0.0
surf,0,0.0
pleas leav tell,0,0.0
tri find chines food place around,0,0.0
lolnic went fish,0,0.0
privat account statement show point call identifi code expir,1,1.0
forgot work today wan na chat thing ok drop text free bore etc ring hope well nose essay xx,0,0.0
post class,0,0.0
lost kilo today,0,0.0
first strike red one bird antelop begin toplay fieldof selfindepend believ flower content,0,0.0
found enc lt gt,0,0.0
thanx goodmat think ur rite sari asusu cheer love franyxxxxx,0,0.0
give someth drink take vomit temp might drop unmit howev let know,0,0.0
search good dual sim mobil pa,0,0.0
broke list reason nobodi town ca tell sarcast faggi,0,0.0
ee msg na poortiyagi odalebeku hanumanji name ee name lt gt janarig ivatt kalisidar next saturday olag ondu good news keluviri maretar ind dodda problum nalli siguviri idu matra lt gt neglet,0,0.0
thank love torch bold,0,0.0
imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,0,0.0
dont think need yellow card uk travel ask someon gone lt gt buck,0,0.0
dont send plu mode,0,0.0
thank temal wonder thank great week,0,0.0
know call,0,0.0
hi da today class,0,0.0
ok din get ur msg,0,0.0
ya take ure practic lesson start,0,0.0
mum say wan go go shun bian watch da glass exhibit,0,0.0
new year plan,0,0.0
ah well confus thing,0,0.0
pl make note expos also find school anyon els vomit dog cat hous let know later,0,0.0
right make appoint right,0,0.0
boy made fun today ok problem sent one messag fun,0,0.0
surf,0,0.0
xxxmobilemovieclub use credit click wap link next txt messag click http,1,1.0
night nt stay port step liao ex,0,0.0
fine miss much,0,0.0
wah oki oki muz make use unlimit haha,0,0.0
spoke uncl john today strongli feel need sacrific keep go call beg listen dont make promis make clear thing easi need pleas let us work thing long keep expect help creativ stifl pl keep happi promis part,0,0.0
yar lor keep rain non stop wan go elsewher,0,0.0
wish beauti day moment reveal even thing keep smile enjoy,0,0.0
dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den,0,0.0
number live,0,0.0
still look job much ta earn,0,0.0
sorri go home first daddi come fetch later,0,0.0
nokia phone,0,1.0
interflora   it late order interflora flower christma call place order midnight tomorrow,1,0.0
good friend care close friend understand true friend stay forev beyond word beyond time gud,0,0.0
much textin bout,0,0.0
youdo later sar,0,0.0
regist sinco paye log enter urn lt gt confirm bewar fraud share disclos urn anyon,0,0.0
anyway go gym whatev love hope ok good day babe miss much alreadi,0,0.0
hiya sorri hav signal seen heard neither unusu put case get sort hug snog,0,0.0
late,0,0.0
someon conact date servic enter phone fanci find call landlin,1,1.0
ugh got outta class,0,0.0
congrat great want tell tell score co might make relax motiv thank share,0,0.0
forgot take year shower sorri phone dead yet,0,0.0
didnt get anyth da,0,0.0
go back urself lor,0,0.0
tell pain de,0,0.0
check got detail messag,0,0.0
take italian food pretti dress panti,0,0.0
want lick pussi,0,0.0
awesom text restock,0,0.0
privat account statement xxxxxx show point call identifi code expir,1,1.0
win music gift voucher everi week start txt word draw tsc skillgam,1,1.0
em olowoyey great time argentina sad secretari everyth bless,0,0.0
check head drop stuff,0,0.0
one interest may busi plan,0,0.0
food,0,0.0
ugh long day exhaust want cuddl take nap,0,0.0
sorri call later,0,0.0
outbid shinco dvd plyr bid visit sm end bid notif repli end,1,1.0
also sorta blown coupl time recent id rather text blue look weed,0,0.0
give sec break lt gt cstore,0,0.0
decemb mobil entitl updat latest colour camera mobil free call mobil updat co free,1,1.0
cool let know kick around lt gt day,0,0.0
wen finish fanci meetin wiv tonit need break dabook hr last today wrk,0,0.0
done hand celebr full swing yet,0,0.0
sorri call later,0,0.0
kate jackson rec center right,0,0.0
much tri get,0,0.0
reach offic around lt decim gt amp mobil problem get voic call asa free,0,0.0
ew one,0,0.0
hi jess dont know work call im home eve xxx,0,0.0
mmmmmm love much ahmad ca wait year begin everi second take closer side happi new year love,0,0.0
welcom select servic ad benefit call special train advisor free mobil diall,1,1.0
ok,0,0.0
alright hook guy,0,0.0
ca keep go never intent run choos rather keep room clean say visitor mayb best choic ye want embarass mayb feel feel friend want drop buy say happen morn tri everyth know els,0,0.0
yup leav right back soon,0,0.0
spend new year brother famili let plan meet next week readi spoil,0,0.0
sorri call later,0,0.0
sad stori man last week wife wish parent forgot kid went work even colleagu wish enter cabin pa said happi boss felt special askd lunch lunch invit apart went said mind go bedroom minut sed sexi mood came minut latr wid cake wife parent kidz friend colleagu surpris wait nake,0,0.0
tht wat wright brother,0,0.0
enjoy watch play footbal basketbal anyth outdoor,0,0.0
haha awesom coupl time come,0,0.0
hope feel great pl fill abiola,0,0.0
call da wait call,0,0.0
fight world easi either win lose bt fightng close dificult lose lose win still lose,0,0.0
er hello thing quit go plan limp slowli home follow aa exhaust hang,0,0.0
dunno dad said come home bring us lunch yup go lor call reach school lor,0,0.0
how pain dear smile,0,0.0
realli crash cuddl sofa,0,0.0
hello go villag pub either come accordingli ok,0,0.0
free entri wkli comp win fa cup final tkt may text fa receiv entri question std txt rate appli,1,1.0
huh also mani mistak,0,0.0
one slice one breadstick lol,0,0.0
dog must alway wait till end day word run time cell alreadi,0,0.0
dont search love let love find that call fall love bcoz dont forc fall know smeon hold bslvyl,0,0.0
see,0,0.0
outsid offic take,0,0.0
hey check da list da,0,0.0
promis take good care princess run pleas send pic get chanc ttyl,0,0.0
mom want know,0,0.0
ok problem yup go sch rem correctli,0,0.0
thank princess sexi,0,0.0
hate turn fun shop trip annoy day everyth would look hous,0,0.0
norm tomorrow finish co st test need sort librari stuff point tomo got letter today access til end march better get move,0,0.0
oh yeah clearli fault,0,0.0
custom servic announc recent tri make deliveri unabl pleas call,1,1.0
yun buy school got offer plu,0,0.0
good thing get connect bw,0,0.0
yeah pretti much best case scenario,0,0.0
intrepid duo great time see soon,0,0.0
ask,0,0.0
true easier,0,0.0
cool like swim pool jacuzzi hous,0,0.0
hey late amk need drink tea coffe,0,0.0
select stay top british hotel noth holiday worth claim call london bx,1,1.0
ur chanc win wkli shop spree txt shop custcar,1,1.0
free week nokia tone ur mobil everi week txt nokia get txting tell ur mate pobox,1,1.0
urgent tri contact today draw show prize guarante call land line claim,1,1.0
mani happi return day wish happi birthday,0,0.0
lost pound sinc doc visit last week woot woot gon na celebr stuf face,0,0.0
thank vote sing along star karaok mobil free link repli sing,1,0.0
good morn plz call sir,0,0.0
nobodi name peni girl name stori add,0,0.0
yup,0,0.0
anytim,0,0.0
jokin oni    busi wun disturb,0,0.0
ye pretti ladi like singl,0,0.0
waaaat lololo ok next time,0,0.0
oh ye like tortur watch england,0,0.0
well done england get offici poli rington colour flag yer mobil text tone flag txt eng stop,1,1.0
lol forgot eh ye bring babe,0,0.0
babe love face,0,0.0
ask abt movi wan ktv oso,0,0.0
sent wife text buy tell relax go get wkend,0,0.0
vote wherev heart guid,0,0.0
today voda number end select receiv award match pleas call quot claim code standard rate app,1,1.0
hello boytoy made home constant thought love hope nice visit ca wait till come home,0,0.0
fine bitch later,0,0.0
that cool day,0,0.0
rightio well arent bright earli morn,0,0.0
love,0,0.0
start search get job great potenti talent,0,0.0
ree entri weekli comp chanc win ipod txt pod get entri std txt rate appli detail,1,1.0
hey iouri gave number wyli ryan friend,0,0.0
juz havent woke bit blur blur dad went liao cant cum oso,0,0.0
realli realli broke oh amount small even lt gt,0,0.0
ic lol play door sometim yo,0,0.0
meet call later,0,0.0
babe back come back,0,0.0
sent maga money yesterday oh,0,0.0
meet call later,0,0.0
look like wil get headstart im leav bout desper compani could head goin meet rummer,0,0.0
urgent mobil award bonu caller prize final attempt contact call,1,1.0
ok go chang also,0,0.0
want anytim network min text new video phone five pound per week call repli deliveri tomorrow,1,1.0
come pick come immedi aft ur lesson,0,0.0
wait call sir,0,0.0
dint slept afternoon,0,0.0
alway even spirit get bb soon tri sure need,0,0.0
gud care,0,0.0
usual take fifteen fuck minut respond ye question,0,0.0
well uv caus mutat sunscreen like essenti theseday,0,0.0
still plumber tape wrench could borrow,0,0.0
good stuff,0,0.0
haha think,0,0.0
simpl arithmet percentag,0,0.0
floppi snappi happi gay chat servic photo upload call stop text call,1,1.0
finish eat got plate leftov time,0,0.0
home,0,0.0
may free gym,0,0.0
forgot ask card da present lei    want write smth sign,0,0.0
went fast asleep care,0,0.0
yeah see,0,0.0
brain dear,0,0.0
urgent tri contact today draw show prize guarante call land line claim po,1,1.0
hmph go head big baller,0,0.0
hellogorg how fone charg lst nitw wen texd hopeu ad nice wkend im sure lookin luv jaz,0,0.0
dont thnk wrong call us,0,0.0
come onlin today night,0,0.0
yar lor wan go hors race today mah eat earlier lor ate chicken rice,0,0.0
must book huh go yoga basic sunday,0,0.0
fine,0,0.0
attempt contract week top prize either cash prize call,1,1.0
thank keep mind,0,0.0
much would cost hire hitman,0,0.0
staff placement train amrita colleg,0,0.0
give second chanc rahul dengra,0,0.0
today go colleg abl atten class,0,0.0
want grasp pretti booti,0,0.0
take like noon,0,0.0
den weekday got special price haiz cant eat liao cut nail oso muz wait finish drivin wat lunch still muz eat wat,0,0.0
rock yr chik get filthi film xxx pic yr phone rpli filth saristar ltd per day cancel,1,1.0
hiya comin bristol st week april le got rudi new yr eve drunk bak colleg yet work send ink bath,0,0.0
ok lor wan go look,0,0.0
call done,0,0.0
sure night menu know noon menu,0,0.0
ok call mom instead fun,0,0.0
ok take shop get paid,0,0.0
two letter copi co one messag speak soon,0,0.0
cme want go ho wil cme got dear didnt say time,0,0.0
uhhhhrmm isnt tb test bad your sick,0,0.0
go lunch wif famili aft dat go str orchard lor,0,0.0
knew time murder exactli,0,0.0
turn phone mom tell everyon cancer sister wo stop call hurt talk ca put see get home love,0,0.0
sir good morn hope good weekend call let know abl rais lt gt dad howev said would make rest avail mid amount still quit short hope would help good day abiola,0,0.0
pleas give us connect today lt decim gt refund bill,0,0.0
come mahal bu lt decim gt,0,0.0
money issu weigh thank breath easier make sure dont regret thank,0,0.0
man carlo definit come mu tonight excus,0,0.0
ujhhhhhhh comput ship address sandiago parantella lane wtf poop,0,0.0
sm auction nokia get win free auction take part send nokia,1,1.0
oki,0,0.0
search right word thank breather promis wont take help grant fulfil promis wonder bless time,0,0.0
mean come chase state watch mani movi want,0,0.0
earli,0,0.0
meant calcul lt gt unit lt gt school realli expens start practic accent import decid dental school nmde exam,0,0.0
go bath msg next lt gt,0,0.0
becoz lt gt jan whn al post ofic holiday cn go fr post ofic got duffer,0,0.0
ju finish lunch way home lor tot dun wan stay sch today,0,0.0
would good phone tomo lunchtim shall organis someth,0,0.0
sorri im stil fuck last nite went tobe got work,0,0.0
realli quit funni lor wat shd haf run shorter distanc wat,0,0.0
eat shit wait ur monkey face bitch asshol,0,0.0
notic like look shit mirror your turn right freak,0,0.0
send pic like,0,0.0
da bu go home,0,0.0
boy love gal propsd bt didnt mind gv lv lttr bt frnd threw thm boy decid aproach gal dt time truck speed toward gal wn hit girl boy ran like hell save ask cn run fast boy repli secret instantli girl shout thi live happili drink boost evrydi moral stori hv free msg gud,0,0.0
somewhr someon sure made god decid perfect time make meet dat person till den enjoy ur,0,0.0
darren say dat meet da ge den dun meet dinner co later leav xy feel awkward den meet lunch lor,0,0.0
ok come pick engin,0,0.0
keep away like,0,0.0
start send blackberri torch nigeria find buyer like month tell dad buy bb anyon oh,0,0.0
movi laptop,0,0.0
misplac number send text old number wonder heard year best mcat got number atlanta friend,0,0.0
ok wun angri msg aft come home tonight,0,0.0
ok lor go tog lor,0,0.0
upgrdcentr orang custom may claim free camera phone upgrad loyalti call offer end juli appli avail,1,1.0
togeth thinkin,0,0.0
ok care text drive,0,0.0
que pase un buen tiempo someth like,0,0.0
cant see join deni mina deni want alon time,0,0.0
ye think offic lap room think that last day didnt shut,0,0.0
tot outsid co darren say come shop cours nice wat ju went sim lim look player,0,0.0
pleassssssseeeee tel avent done sportsx,0,0.0
sef dey laugh meanwhil darl anji,0,0.0
dun cut short leh dun like ah fail quit sad,0,0.0
hey got mail,0,0.0
fine got enough bud last night least,0,0.0
heard abt,0,0.0
time get,0,0.0
text banneduk see cost textoper xxx,1,1.0
come correct good look figur,0,0.0
good morn love go sleep wish great day full feel better opportun last thought babe love,0,0.0
ok noth problem,0,0.0
walk mom right stagwood pass right winterston left victor hill address lt gt,0,0.0
hey wereth monkeespeopl say monkeyaround howdi gorgeou howu doin foundurself jobyet sausag love jen,0,0.0
loverboy keep come queen hmmm ach speak miss despar,0,0.0
take half day leav bec well,0,0.0
drama enough famili struggl hot sun strang reason ego go invit actual necess seriou reppurcuss,0,0.0
final match head toward draw predict,0,0.0
urgent mobil bonu caller prize attempt reach call asap,1,1.0
great never better day give even reason thank god,0,0.0
huh dinner outsid izzit,0,0.0
sister got place birla soft da,0,0.0
dear matthew pleas call landlin complimentari tenerif holiday cash await collect sae cs,1,1.0
sch fr dun haf da book sch home,0,0.0
good morn pooki pie lol hope wake,0,0.0
probabl money worri thing come due sever outstand invoic work two three month ago,0,0.0
vl bcum,0,0.0
work technic support voic process,0,0.0
wud never mind dont miss dont need wil realli hurt wen need amp dont tell take care,0,0.0
mode men left,0,0.0
pick anoth done,0,0.0
ur current pound maxim ur send go cc,1,1.0
ya one slow poo,0,0.0
think one say clearli ok leav need ask go come,0,0.0
got smaller capac one quit ex,0,0.0
congrat treat mail mail mother mail,0,0.0
good night sleepwel amp take care,0,0.0
meant say cant wait see get bore bridgwat banter,0,0.0
bloomberg center wait appli futur http,1,1.0
go tri month ha ha joke,0,0.0
oi gon na ring,0,0.0
apo mokka player,0,0.0
thk em find wtc far weiyi goin rest dunno yet ur goin dinner den might abl join,0,0.0
avatar suppos subtoitl,0,0.0
nah think goe usf live around though,0,0.0
urgent pleas call landlin complimentari lux costa del sol holiday cash await collect ppm sae cs jame,1,1.0
guy ask get slipper gone last year,0,0.0
man bu slow think gon na get,0,0.0
didnt get ur full miss send,0,0.0
alex nichol middl school turn deal,0,0.0
dont worri guess busi,0,0.0
much buzi,0,0.0
dont let studi stress,0,0.0
doubl min txt free bluetooth orang avail soni nokia motorola phone call,1,1.0
prefer free day tue wed fri oso    ask workin lor,0,0.0
dai send resum id,0,0.0
cant get da laptop matric card wif lei,0,0.0
haha thinkin,0,0.0
anyth lor toa payoh got place walk meh,0,0.0
gettin bit arti collag mo well tryin ne way got roast min love shall enjoy,0,0.0
want latest video handset anytim network min half price line rental repli call deliveri tomorrow,1,1.0
that cool princess cover face hot sticki cum,0,0.0
reach home min,0,0.0
good morn im suffer fever dysentri abl come offic today,0,0.0
pleas tell car key purs,0,0.0
thanx yup come back sun finish dinner go back hotel time fli tog exactli mth today hope haf mani mth come,0,0.0
happi advanc,0,0.0
hi hope good day better night,0,0.0
wait insid da car park,0,0.0
mysteri solv open email sent anoth batch sweeti,0,0.0
yeah give call got minut,0,0.0
today dedic song dedic send ur valuabl frnd first rpli,0,0.0
hi engag fixd lt gt th next month know realli shock bt njan vilikkam ws al sudn,0,0.0
ye thought thank,0,0.0
yep great loxahatche xma tree burn lt gt start hour,0,0.0
regist sinco paye log enter urn lt gt confirm bewar fraud share disclos urn anyon,0,0.0
hi darlin im helen fone im gon na princ nite pleas come tb love kate,0,0.0
sorri earlier put around talk actual life lol,0,0.0
talk,0,0.0
offic what call break,0,0.0
want custom offic discount oh,0,0.0
expect whenev text hope goe well tomo,0,0.0
get back time soon,0,0.0
set place heart mind mind easili forget heart alway rememb wish happi valentin day,0,0.0
dunno lei thk mum lazi go neva ask yet,0,0.0
fp,0,0.0
want wish happi new year want talk legal advic gari split person make trip ptbo hope everyth good babe love ya,0,0.0
come din yup cut hair,0,0.0
go got excit karaok type activ plan debat whether play footbal eve feel lazi though,0,0.0
funer home audrey dad,0,0.0
mind tsunami occur rajnik stop swim indian,0,0.0
guess lt gt min,0,0.0
today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,0,0.0
guy browsin compulsori,0,0.0
money lucki winner claim prize text money give away text rate,1,1.0
check audrey statu right,0,0.0
got panren,0,0.0
motiv behind everi dark shine light wait find behind everi best friend alway trust love bslvyl,0,0.0
dont knw pa drink,0,0.0
cool shall go see go tip anyway home got someth drop later let go town tonight mayb mum take us,0,0.0
aight ill get fb coupl minut,0,0.0
alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,0,0.0
necessarili respect,0,0.0
dont want hear anyth,0,0.0
hey around got enough half ten owe,0,0.0
true sat pray even felt sm time,0,0.0
dear go rubber place,0,0.0
long applebe fuck take,0,0.0
yeah quit bit left swing tomorrow get,0,0.0
prize go anoth custom polo ltd suit london pleas call back busi,1,0.0
per request mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0,0.0
ju finish watch tv,0,0.0
got new job bar airport satsgettin hour mean lie keep touch,0,0.0
free week nokia tone ur mob everi week txt nokia get txting tell ur mate zed pobox,1,1.0
better made friday stuf like pig yesterday feel bleh least writh pain kind bleh,0,0.0
cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,0,0.0
good morn dear great amp success day,0,0.0
hi ibh custom loyalti offer new mobil txtauction txt word start get,1,1.0
get worri derek taylor alreadi assum worst,0,0.0
ok lor,0,0.0
free video camera phone half price line rental mth cross ntwk min txt call,1,1.0
back bit long co accid divert via brilliant weekend thank speak soon lot love,0,0.0
hi spoke maneesha like know satisfi experi repli toll free ye,0,0.0
